"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"alpha",1,0,1,1,1,1,1,1,1
"deviance",5377.4628,74.2876,5233.4785,5327.365,5376.1908,5425.4635,5529.6291,1.002,1000
"eta[1]",0.611,0.0328,0.5477,0.5887,0.6106,0.6329,0.675,1.003,780
"eta[2]",1.0708,0.0305,1.0111,1.0507,1.0703,1.0921,1.1326,1.0142,570
"kappa[1]",0,0,0,0,0,0,0,1,1
"kappa[2]",-0.8881,0.0873,-1.0597,-0.9461,-0.8894,-0.8284,-0.7176,1.0014,1400
"kappa[3]",-0.6296,0.0847,-0.7863,-0.6895,-0.6284,-0.5731,-0.4555,1.0014,1400
"kappa[4]",-0.1949,0.0908,-0.3782,-0.2572,-0.1898,-0.1319,-0.0301,1.0005,1500
"kappa[5]",0.1642,0.0979,-0.0357,0.1015,0.1628,0.2277,0.3595,1.004,540
"phi[1]",-0.7064,0.0704,-0.8486,-0.7528,-0.7035,-0.6566,-0.5773,1.0027,730
"phi[2]",0.999,0.0818,0.8478,0.9424,0.9957,1.0525,1.1688,1.0036,560
"phi[3]",-0.1079,0.0643,-0.2383,-0.1483,-0.1072,-0.0644,0.0192,1,1500
"phi[4]",-0.0639,0.0734,-0.2019,-0.1141,-0.0662,-0.0159,0.0838,1.0012,1500
"phi[5]",0.023,0.2118,-0.4435,-0.1076,0.0495,0.1792,0.3594,1.0094,320
"phi[6]",-0.6146,0.2261,-1.0303,-0.7948,-0.608,-0.4352,-0.2101,1.0034,580
"phi[7]",0.718,0.0802,0.5611,0.6616,0.7208,0.7773,0.8597,1.0116,170
"phi[8]",-1.4507,0.07,-1.5793,-1.5015,-1.4515,-1.4023,-1.3043,1.0095,740
"phi[9]",-0.6018,0.2266,-1.0121,-0.7771,-0.6013,-0.4271,-0.1908,1.0001,1500
"phi[10]",0.7368,0.0627,0.6149,0.6954,0.7372,0.7794,0.8579,1.0012,1500
"phi[11]",0.7305,0.0762,0.5739,0.6809,0.7297,0.7829,0.8728,1.0026,780
"phi[12]",0.2828,0.0764,0.1316,0.2291,0.2853,0.3378,0.4258,1.0034,1500
"phi[13]",-1.75,0.077,-1.9007,-1.804,-1.7508,-1.6974,-1.6047,1.0014,1400
"phi[14]",-0.2752,0.0657,-0.3961,-0.3205,-0.278,-0.2325,-0.1394,1.0082,410
"phi[15]",-0.1285,0.0655,-0.25,-0.1723,-0.1302,-0.0843,0.0069,1.0017,1200
"phi[16]",0.2201,0.1521,-0.0606,0.1015,0.2228,0.3323,0.4981,1.0065,310
"phi[17]",-0.2826,0.0685,-0.416,-0.3291,-0.2831,-0.2348,-0.151,1.0025,860
"phi[18]",-0.7588,0.0929,-0.9318,-0.826,-0.7593,-0.6911,-0.5805,1.0052,380
"phi[19]",-0.3558,0.094,-0.5268,-0.426,-0.354,-0.288,-0.1796,1.001,1500
"phi[20]",-0.6057,0.0777,-0.7536,-0.6599,-0.6066,-0.5531,-0.4515,1.0047,430
"phi[21]",-1.08,0.2231,-1.4811,-1.2574,-1.0858,-0.9023,-0.6762,1.0098,220
"phi[22]",1.9044,0.2102,1.5327,1.7448,1.8998,2.0749,2.2831,1,1500
"phi[23]",0.3871,0.0792,0.2339,0.3352,0.3837,0.4395,0.5507,1.0011,1500
"phi[24]",-0.6154,0.2249,-1.0219,-0.7921,-0.6209,-0.4412,-0.2022,1.0086,230
"phi[25]",0.3679,0.2268,-0.0312,0.191,0.3606,0.5441,0.7914,1.0012,1500
"phi[26]",-2.2936,0.0961,-2.4822,-2.3614,-2.2902,-2.2231,-2.1185,1.0071,390
"phi[27]",-0.0488,0.2234,-0.4755,-0.2188,-0.0326,0.1288,0.3227,1.0325,67
"phi[28]",0.0303,0.0724,-0.1058,-0.0185,0.0315,0.0767,0.1813,1.0008,1500
"phi[29]",1.3417,0.0762,1.197,1.292,1.34,1.3955,1.4876,1.0005,1500
"phi[30]",0.2208,0.0879,0.0567,0.1621,0.2133,0.281,0.3943,1.0012,1500
"phi[31]",0.7327,0.1167,0.4884,0.6587,0.747,0.8147,0.9393,1.005,1100
"phi[32]",0.1951,0.0746,0.0539,0.1451,0.1939,0.2442,0.345,1.0003,1500
"phi[33]",0.8616,0.0954,0.6916,0.7958,0.8573,0.9236,1.0609,1.0031,1500
"phi[34]",-0.6041,0.2185,-1.0034,-0.7643,-0.606,-0.4378,-0.1971,1.0017,1200
"phi[35]",1.3783,0.0885,1.2094,1.3218,1.3789,1.4389,1.5449,1.0015,1400
"phi[36]",0.5102,0.0625,0.3878,0.4674,0.5115,0.5502,0.6353,1.0012,1500
"phi[37]",0.6195,0.0833,0.467,0.5608,0.6182,0.6734,0.7908,1.0027,740
"phi[38]",0.2243,0.0707,0.0845,0.1757,0.2219,0.2723,0.3596,1.0041,1500
"phi[39]",0.2045,0.0835,0.0392,0.148,0.2036,0.2591,0.3643,1.0064,340
"phi[40]",-0.3448,0.1019,-0.5334,-0.4203,-0.3402,-0.2709,-0.1482,1.0081,280
"psi[1]",0.5581,0.0688,0.4295,0.5138,0.559,0.603,0.6897,1.012,460
