"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"alpha",1,0,1,1,1,1,1,1,1
"deviance",3716.3082,73.9263,3574.5224,3666.222,3715.6376,3766.1243,3865.651,1.0127,130
"eta[1]",0.6406,0.0334,0.5762,0.6194,0.6416,0.6601,0.7115,1.15,16
"eta[2]",1.0261,0.0613,0.8992,0.9861,1.0299,1.07,1.1366,1.0017,1700
"kappa[1]",0,0,0,0,0,0,0,1,1
"kappa[2]",-5.4116,0.431,-6.2895,-5.6963,-5.3922,-5.1126,-4.6059,1.0009,5000
"kappa[3]",-3.3137,0.1779,-3.6657,-3.434,-3.3128,-3.1948,-2.9563,1.0021,1100
"kappa[4]",-2.3694,0.1075,-2.5848,-2.4405,-2.3686,-2.2962,-2.1645,1.0036,1600
"kappa[5]",0.0186,0.1183,-0.1932,-0.0634,0.0134,0.0933,0.2626,1.0156,110
"phi[1]",-0.1045,0.081,-0.2492,-0.1583,-0.1132,-0.0568,0.0765,1.0114,420
"phi[2]",-0.3662,0.1073,-0.5741,-0.4421,-0.3665,-0.2826,-0.1778,1.0603,560
"phi[3]",0.3629,0.2318,-0.0533,0.1718,0.3743,0.5493,0.7609,1.0396,59
"phi[4]",-2e-04,0.2144,-0.3864,-0.1734,0.0023,0.1742,0.3689,1.0235,86
"phi[5]",-0.0852,0.1097,-0.2891,-0.1611,-0.0916,-0.0144,0.1495,1.0162,140
"phi[6]",0.2713,0.1856,-0.056,0.1279,0.267,0.4141,0.6231,1.0044,450
"phi[7]",0.2737,0.1118,0.0719,0.2029,0.2649,0.342,0.5269,1.0263,160
"phi[8]",-0.013,0.1049,-0.2076,-0.0815,-0.0171,0.0505,0.2082,1.014,120
"phi[9]",-0.0891,0.0457,-0.1788,-0.1192,-0.0906,-0.0604,0.0063,1.0536,67
"phi[10]",-0.086,0.1019,-0.2774,-0.1562,-0.0911,-0.0189,0.1254,1.008,2700
"phi[11]",-0.2503,0.0704,-0.3828,-0.2982,-0.2529,-0.2061,-0.0986,1.0103,270
"phi[12]",-0.2565,0.125,-0.4665,-0.3547,-0.2644,-0.1656,-0.0106,1.0233,78
"phi[13]",0.0215,0.2194,-0.3893,-0.1429,0.0367,0.2014,0.3728,1.0718,26
"phi[14]",0.1814,0.2241,-0.3451,0.0473,0.247,0.3518,0.482,1.029,150
"phi[15]",0.1507,0.1251,-0.0636,0.0505,0.1428,0.2414,0.4018,1.1187,19
"phi[16]",-0.0397,0.065,-0.1638,-0.0841,-0.0405,0.0051,0.0834,1.0153,280
"phi[17]",0.1276,0.1058,-0.0494,0.0494,0.1249,0.1935,0.3466,1.0791,27
"phi[18]",-0.2236,0.0505,-0.3273,-0.2592,-0.2193,-0.1857,-0.1389,1.0501,36
"phi[19]",0.238,0.1318,-0.0311,0.1565,0.2453,0.3307,0.4705,1.0042,730
"phi[20]",-0.1129,0.0435,-0.1983,-0.1418,-0.1157,-0.0833,-0.0232,1.0651,32
"psi[1]",0.6513,0.0644,0.5364,0.6049,0.6471,0.6945,0.7843,1.0035,1300
"psi[2]",0.2779,0.0756,0.106,0.2285,0.2918,0.3332,0.3958,1.0928,85
"psi[3]",0.1334,0.0738,0.028,0.0727,0.1225,0.1851,0.2954,1.0132,120
"psi[4]",0.1406,0.0776,0.0304,0.0751,0.13,0.1953,0.3084,1.0008,5000
"psi[5]",0.6268,0.056,0.5206,0.5871,0.6261,0.6641,0.742,1.006,290
"psi[6]",0.1372,0.0749,0.0277,0.0741,0.127,0.1916,0.2931,1.001,5000
"psi[7]",0.6519,0.062,0.5386,0.6103,0.649,0.6914,0.7824,1.0185,570
"psi[8]",0.7022,0.0522,0.6095,0.6651,0.6996,0.735,0.8112,1.0105,200
"psi[9]",0.357,0.098,0.1293,0.2992,0.3711,0.4279,0.5196,1.0008,5000
"psi[10]",0.5701,0.0519,0.4719,0.535,0.5671,0.6027,0.6795,1.0057,1700
"psi[11]",0.6523,0.0485,0.5664,0.619,0.6487,0.6829,0.757,1.0069,250
"psi[12]",0.3306,0.0855,0.1623,0.2693,0.336,0.3948,0.4799,1.0153,110
"psi[13]",0.1696,0.097,0.0295,0.0879,0.1576,0.2404,0.3676,1.0208,78
"psi[14]",0.2551,0.1233,0.0412,0.1542,0.2622,0.3528,0.4703,1.0017,1700
"psi[15]",0.3041,0.0732,0.1541,0.2506,0.3064,0.3567,0.4369,1.1259,18
"psi[16]",0.4924,0.1009,0.226,0.4521,0.512,0.5595,0.6366,1.0417,790
"psi[17]",0.4161,0.0876,0.2512,0.3533,0.4149,0.4772,0.5874,1.0263,80
"psi[18]",0.3279,0.0847,0.146,0.2701,0.3366,0.3919,0.4652,1.0483,160
"psi[19]",0.2837,0.0884,0.0966,0.2243,0.2969,0.35,0.4286,1.0008,5000
"psi[20]",0.3564,0.1025,0.1358,0.2897,0.3653,0.4334,0.5265,1.0013,3300
"theta[1]",0.9062,0.6411,-0.2777,0.4635,0.8733,1.323,2.2243,1.0009,5000
"theta[2]",-0.7012,0.5075,-1.6493,-1.056,-0.7191,-0.3581,0.3065,1.0019,1400
"theta[3]",0.6959,0.5838,-0.4248,0.3115,0.6882,1.0712,1.8775,1.0009,5000
"theta[4]",0.5225,0.5053,-0.4258,0.1748,0.5131,0.8482,1.5518,1.0015,2000
"theta[5]",-0.1933,0.564,-1.2248,-0.5931,-0.2049,0.1666,0.9839,1.0009,5000
